fbln1YearWebPayment,fblnAddressChange3Months,fblnAllAccountsCeased,fblnAllAccountsOpen,fblnAllTimeAuditCount,fblnAutomatedLetterSent,fblnDeactivatedCredit1Year,fblnInState,fblnNameChange3Months,fblnNonfiler,fblnPhoneChange3Months,fcurAuditPostings,fcurBalance,fcurMaxWebPayment1Year,fcurMinWebPayment1Year,flngAccountCount,flngAccountsWithBalanceCount,flngCeasedAccountCount,flngDaysOpen,flngDaysSinceLastCollection,flngOpenAccountCount,flngOpenPeriodCount,flngPriorCollectionsCount,fstrCollectDistrict,fstrCustomerType,fstrTaxType,fblnTargetSelfCured
0,0,1,0,0,0,0,1,0,0,0,0,79.16,0,0,4,3,4,4,205,0,0,1,District 7,SCO,Sales,1
0,0,0,1,1,0,0,0,0,0,0,11555,8150.52,0,0,5,4,0,4,1907,5,0,1,District 1,COR,Sales,0
1,0,0,1,0,0,0,1,0,0,0,0,95.58,834,1.35,5,3,0,4,187,5,0,1,District 7,LLC,Sales,0
0,0,0,1,1,0,0,1,0,0,0,5143.48,71.96,0,0,5,4,0,4,89,5,0,1,District 4,SCO,Sales,1
1,0,0,1,0,0,0,1,0,0,0,0,1847.57,1139,5,5,4,0,4,531,5,0,1,District 9,SCO,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,4988.97,0,0,5,5,0,4,151,5,0,1,District 7,COR,Sales,0
0,0,0,1,0,0,0,1,1,0,0,0,2520.81,0,0,5,4,0,4,20,5,0,1,District 4,SCO,Sales,0
1,0,0,0,0,0,0,1,0,0,0,0,122.71,2313,8,6,3,1,4,303,5,0,1,District 16,COR,Sales,0
1,0,0,0,0,0,0,1,0,0,0,0,76.34,1381,38.1,8,4,2,4,968,6,0,1,District 2,COR,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,505.48,0,0,2,1,0,4,7,2,0,1,District 7,NON,Withholding,0
0,0,0,1,0,1,0,1,0,0,1,0,6126.84,0,0,3,2,0,4,364,3,0,1,District 0,SCO,Withholding,0
1,0,0,1,0,0,0,1,0,0,0,0,548.62,17471,2,5,3,0,4,2083,5,0,1,District 2,PAR,Withholding,0
