flngAuditYear,fstrFiling,fstrClassification,fintPreviousAudits,fstrIndustry,flngSiteCount,fcurTotalReceipts,fcurTaxableReceipts,fdblFoodSalesPercent,fdblLiquorSalesPercent,fdblDeductionsToReceipts,fdblResaleToReceipts,fcurInterstateToReceipts,fcurSalesTax,fcurUseTax,fcurAverageWages,flngCollectCount,flngYearsOpen,flngEmployeeCount,fdblReceiptsChangePercent,fdblUseTaxChangePercent,fblnHasWTHAccount,fblnHasCITAccount,fcurCITTotalIncome,fblnSmallBusiness,fblnInState,fblnNonFiler,fblnTargetOver150PerHour,flngAccountKey
2015,Monthly,4,0,Hotel,1,273154.6012,214073,0,0,0.1,0,0,19452,1.0061,283412.2,1,19,62,0.1,1,1,1,58903.5,1,1,0,0,5294
2010,Quarterly,4,0,Unknown,8,3970.25,3976.18,0,0,0.1,0,0,258.2925,0,0,0,8,0,0.1,0,0,1,0,1,0,0,0,5295
2015,Quarterly,4,0,Unknown,1,10654.875,37571,0,0,0.1,0,0,786.2083,0,0,0,1,2,0,0,0,1,4375,1,1,0,0,5296
2014,Monthly,4,0,Retail,1,7325.4042,11944,0,0,0,0,0,662.1489,0,0,5,3,0,-0.1,0,0,1,-16746,1,1,0,0,5297
2012,Monthly,4,0,Unknown,1,2554195.944,62879,0,0,1,0.2,0.2,2311.8174,121.1984,689553.465,1,12,52,0,12.9,1,1,53417887,1,1,0,0,5298
2010,Monthly,4,0,Unknown,9,5748.5714,7590,0,0,0.1,0,0,443.892,0,0,0,9,0,0.1,0,0,0,0,1,0,0,0,5299
2013,Monthly,4,0,Transportation,1,154137.1205,755,0,0,0.9,0,0,1553.851,22.1205,126097.6537,1,37,25,-0.4,1,1,1,0,1,1,0,1,5300
2011,Monthly,4,0,Unknown,1,123718.625,67463,0.1,0,0.4,0,0,4364.3928,0,12480,0,3,3,0,0,1,1,-35720,1,1,0,1,5301
2014,Annual,1,0,Unknown,1,2350.6,0,0,0,0.6,0.6,0,59.2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,5302
2010,Annual,4,0,Unknown,10,526795.2222,596055,0,0,0,0,0,40819.4537,9444.8055,6615431,0,74,542,-0.1,0.1,1,0,0,0,0,0,0,5303
2009,Monthly,4,0,Unknown,5,137336.6145,54664,0,0,0.1,0,0,8789.625,838.3437,4598424.75,0,74,0,0,0.3,1,0,0,1,1,0,0,5304
2013,Monthly,3,0,Unknown,1,0,0,0,0,0,0,0,0,0,14961.045,1,0,0,0,0,1,0,0,1,0,1,1,5305
2010,Monthly,3,0,Unknown,1,42182.8292,10266,0,0,0.8,0,0,437.8324,0,25618.6112,0,6,2,0,0,1,1,0,1,0,0,0,5306
2010,Annual,4,0,Unknown,1,277.5833,0,0,0,0,0,0,0,33.5,3343964.078,0,28,51,1,1,1,1,126503516.5,1,0,0,1,5307
2011,Monthly,2,0,Unknown,1,0,0,0,0,0,0,0,0,278.1718,7289.8471,1,3,2,0,-0.2,1,1,-3706.5,1,0,0,0,5308
2012,Quarterly,4,0,Wholesale,1,8278800.9,0,0,0,1,0.2,0,0,290,108635.5762,0,25,14,-0.1,0.9,1,1,14099,1,1,0,0,5309
2012,Monthly,4,0,Unknown,1,43276.5952,33144,0.1,0.6,0.1,0,0,3006.8095,0,206.25,1,1,0,0,0,1,1,-21,1,1,0,0,5310
2009,Monthly,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,208360.5,0,0,45,0,0,1,1,47718.5,1,1,1,0,5311
2012,Monthly,4,0,Unknown,1,164869.5961,92830,0.1,0,0.3,0,0,7221.4615,0,3319.52,1,2,3,0,0,1,1,21314.5,1,1,0,1,5312
2009,Monthly,4,0,Unknown,1,665679.8541,420111,0,0,0.2,0,0,38264.3229,0,46269481.5,0,13,0,0,0,1,1,447324.5,1,1,0,0,5313
2014,Monthly,4,0,Other,1,230785.36,2739,0,0,1,0,0,438.3666,0,327283.1575,0,25,22,-0.1,0,1,1,216300,1,1,0,0,5314
2011,Annual,1,0,Unknown,1,1501.3076,0,0,0,0,0,0,92.2307,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5315
2011,Monthly,4,1,Unknown,1,143314.2333,143501,0.1,0,0.4,0,0,5193.7666,0,437.3633,4,6,2,-0.2,0,1,1,13227.5,1,1,0,0,5316
2015,Monthly,1,0,Unknown,1,0,0,0,0,0,0,0,0,0,14883,0,0,0,0,0,1,0,0,1,0,1,0,5317
2010,Quarterly,4,0,Unknown,1,29300.2407,12606,0,0,0.5,0,0,868.0185,0,0,0,8,1,-0.2,0,1,0,0,1,1,0,0,5318
2014,Monthly,4,0,Manufacturing,1,48689,0,0,0,0.9,0.6,0.1,300.4444,39.6222,224319.6266,0,1,30,0,0,1,1,0,1,1,0,0,5319
2011,Monthly,4,2,Unknown,1,1157813.735,31863,0,0,1,0.3,0,1176.3673,20.3265,384076.1712,0,6,0,-0.3,0.4,1,1,972485.5,1,0,0,0,5320
2012,Quarterly,4,0,Unknown,1,36735.9589,2107,0,0,0.9,0,0,320.589,3.9041,36167.6325,1,28,3,0.3,1,1,1,-39215,1,1,0,0,5321
2014,Monthly,3,0,Retail,1,46705.6369,14847,0,0,0.1,0,0,2585.7328,0,29766,0,16,0,-0.2,0,1,1,642923,1,0,0,0,5322
2013,Monthly,4,0,Retail,2,136091.8636,104556,0,0.1,0.3,0,0,5996.4772,0,9809.8,0,1,0,0,0,1,1,38412,1,0,0,1,5323
2009,Annual,3,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,1,1,0,1,1,1,1,5324
2009,Annual,3,0,Unknown,1,82383.802,752476,0,0,0.2,0,0,4269.4479,33969.3333,0,0,26,0,-0.1,-0.3,1,1,393840174,1,0,0,0,5325
2013,Monthly,4,0,Unknown,1,51171.2407,16058.83,0,0,0.6,0,0,1376.9887,0,39979.3328,1,2,4,0,0,1,1,-4897.5,1,0,0,0,5326
2012,Annual,4,1,Unknown,9,830684.3561,1017165,0,0,0.1,0,0,57656.7558,618.5753,613944.5037,0,3,293,-0.1,-0.1,1,1,0,1,0,0,0,5327
2011,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206809,1,1,1,0,5328
2010,Monthly,4,1,Unknown,8,1547459.028,235968,0,0,0.9,0.2,0,13060.5504,25.0917,458040.435,0,27,33,-0.1,0.2,1,1,122092483.5,1,0,0,1,5329
2013,Monthly,4,1,Unknown,1,34026.4307,49729.79,0,0,0.1,0,0,2646.0896,0,3725.5833,1,15,0,-0.2,0,1,1,724970.5,1,0,0,1,5330
2012,Annual,4,0,Unknown,1,2320756.849,1584431,0,0,0.1,0,0,128505.1223,31347.1366,657804.8937,1,13,11,0.3,3.4,1,1,0,1,0,0,0,5331
2013,Annual,4,0,Estate,1,0,0,0,0,0,0,0,0,15.7894,960676.405,0,5,43,0,1,1,1,-5458973,1,1,0,0,5332
2014,Annual,3,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5333
2014,Annual,4,0,Retail,1,845090.4509,957320,0,0,0.1,0,0,53383.3202,13.7058,275351.7737,7,33,46,-0.4,-0.3,1,1,2232565.5,1,1,0,0,5334
2012,Monthly,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5335
2011,Monthly,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,47543.75,0,7,0,0,0,1,1,55291.5,1,0,0,1,5336
2016,Monthly,4,0,Retail,1,46270.9477,40923,0,0.8,0.1,0,0,2776.3656,0,25602.962,6,9,6,-0.2,0,1,0,0,1,1,0,1,5337
2010,Monthly,3,0,Unknown,1,75576.5869,9325,0,0,0.8,0,0,885.7867,0,18736,0,2,2,0,0,1,1,1130318.5,1,0,0,0,5338
2013,Annual,4,0,Wholesale,1,647.3333,1027.26,0,0,0.1,0,0,0,0.3333,250827.6875,0,41,0,-0.1,1,1,1,331982.5,1,1,0,1,5339
2010,Monthly,4,1,Unknown,1,208984.6603,106463,0.1,0,0.4,0,0,7214.0188,0,8360.3333,0,1,0,0,0,1,1,21372,1,1,0,1,5340
2016,Annual,4,0,Retail,1,1197731.843,815465,0,0,0.1,0,0,67818.4709,650.4767,282866.0862,3,81,67,0,-0.2,1,1,1600729,1,1,0,0,5341
2016,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,18872.0775,0,0,0,0,0,1,1,91320.5,1,1,1,0,5342
2013,Monthly,4,0,Hotel,1,46185.4494,48308,0,0.1,0.1,0,0,3415.6966,501.1685,217723.4887,0,5,0,0,2.7,1,1,0,1,0,0,0,5343
2013,Monthly,4,0,Unknown,1,126828.3063,1839,0,0,0.9,0,0,780.5675,0,71303.9875,1,15,0,0.1,0,1,1,-8196,1,1,0,0,5344
2013,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,332073.62,1,2,41,0,0,1,1,26161.5,1,1,1,1,5345
2014,Monthly,4,0,Wholesale,1,188286.9,3642,0,0,0.8,0,0,2577.2333,0,105216.1275,0,26,13,-0.3,0,1,1,73558,1,1,0,0,5346
2010,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,1561.4814,5278242.988,4,24,332,0,-0.1,1,1,0,1,1,0,0,5347
2013,Monthly,3,0,Unknown,1,0,0,0,0,0,0,0,0,0,29766,0,0,2,0,0,1,0,0,1,0,1,1,5348
2012,Monthly,4,0,Unknown,1,72785.576,59044,0,0,0.1,0,0,5292.1413,0,23702.1875,4,6,0,0,0,1,1,35873,1,1,0,1,5349
2012,Monthly,4,0,Unknown,1,348715.7575,172954,0,0,0.9,0,0,3035.2954,0,220329.3412,0,8,16,-0.1,0,1,1,359889.5,1,1,0,0,5350
2014,Monthly,4,0,Retail,1,246286.8252,155841,0,0,0.1,0,0,13468.932,95.3203,111645.7862,0,6,27,0,-0.2,1,1,76893,1,1,0,0,5351
2010,Annual,4,0,Unknown,1,17881.9333,0,0,0,1,0,0,60.7333,0,6214.2857,1,5,1,-0.6,0,1,1,12383.5,1,1,0,0,5352
2012,Monthly,4,2,Unknown,1,105438.8051,96743,0,0.1,0.3,0,0,4792.8831,0,6227.8328,0,4,2,0,0,1,1,-41982,1,1,0,1,5353
2015,Monthly,4,2,Retail,1,39027.5031,38799,0,0.3,0.1,0,0,3191.4088,0,8528,4,12,0,0.2,0,1,1,-3073.5,1,1,0,1,5354
2009,Annual,4,1,Unknown,2,68056.4235,0,0,0,0.5,0,0,1674.9712,25146.1529,14177242,0,6,2452,-0.3,0,1,0,0,0,0,0,0,5355
2014,Monthly,4,0,Manufacturing,1,111713.0211,7274,0,0,0.9,0,0,1025.6901,0,104231.2512,1,17,13,-0.2,0,1,1,101641,1,1,0,0,5356
2014,Monthly,3,4,Manufacturing,1,2427535.384,278980,0,0,0.9,0.1,0,19921.1867,15629.0331,1637850.314,6,29,21,-0.2,0.5,1,1,409192737.5,1,0,0,0,5357
2011,Monthly,4,0,Unknown,1,974696.875,3724,0,0,1,0.1,0,539.3365,0,180590.9712,0,24,32,-0.2,0,1,1,1762080.5,1,1,0,0,5358
2011,Monthly,4,0,Unknown,1,25102.6086,5104,0,0,0.1,0,0,1392.8043,0,0,0,1,0,0,0,1,0,0,1,1,1,0,5359
2012,Annual,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,1437,0,0,1,0,0,1,1,-38154,1,0,1,1,5360
2011,Annual,4,0,Unknown,1,0,0,0,0,0,0,0,0,235.1935,1017968.22,0,20,202,0,-0.2,1,1,1087644,1,1,0,0,5361
2015,Monthly,3,0,Unknown,1,74248,5298,0,0,0.8,0.4,0,982.5434,0,8547.97,0,1,1,0,0,1,1,0,1,0,0,0,5362
2015,Monthly,4,0,Unknown,1,973280.36,0,0,0,1,0,1,16.72,241.24,39059.3575,0,0,5,0,0,1,1,-94723.5,1,1,1,1,5363
2012,Annual,4,1,Unknown,4,253625.7321,280103,0,0,0.1,0,0,17476.9732,3.0625,251956.355,1,7,138,-0.2,-0.5,1,1,184739.5,1,1,0,0,5364
2009,Monthly,4,1,Unknown,2,192244.4479,211181,0.1,0,0.3,0,0,8071.5937,0,0,0,7,0,-0.2,0,0,0,0,1,1,0,1,5365
2014,Monthly,4,0,Retail,1,361124.2142,81220,0,0,0.7,0.2,0,8356.75,66.8214,494449.9262,53,2,0,0,0,1,1,-1573482,1,1,0,0,5366
