flngCustomerKey,fblnAuditSuccesful,fstrFiling,fintPreviousAudits,flngSiteCount,fcurTotalReceipts,fcurUseTax,fcurWages,flngCollectCount,flngPaymentCount,fblnHasCigAcct,fblnHasLiqAcct,flngYearsOpen,fcurCorpIncome,fblnInState,fstrNAICS,fdblPercentFiledOnTime,flngOtherAcctCount,flngTotalCRMNotes,flngEmployeeCount,fstrFDSWebDomain,flngFDSEmployeeCount,fcurFDSPropertyStateValue,fstrFDSSalesVolume,flngFDSLocationCount,fstrFDSExpenses,fstrFDSCreditRating,fstrFDSRating,fstrFDSBusinessComplexity,fstrFDSBusinessCollectability,fblnFDSBusinessActive,flngFDSLienCount,flngFDSUCCFilingsCount,flngFDSBankruptcyCount,flngFDSCurrentVehicleCount,flngFDSAircraftCount,flngFDSPropertyStateCount,flngFDSAddressStateCount,fblnFDSSubsidiaries,fblnFDSFranchise,fdblFDSPcntAgriculture,fdblFDSPcntConstruction,fdblFDSPcntFinancial,fdblFDSPcntGovernment,fdblFDSPcntHealthCare,fdblFDSPcntInformation,fdblFDSPcntHospitality,fdblFDSPcntManufacturing,fdblFDSPcntOther,fdblFDSPcntProfessional,fdblFDSPcntRestaurant,fdblFDSPcntRetail,fdblFDSPcntTransportion,fdblFDSPcntWholesaleTrade,fstrFDSPrimaryBusiness
33819136,0,ST1AN,0,1,0,10000,500000,0,7,0,0,10,500000,1,238162,0.5,3,13,44,COM,0,35062,MEDIUM,1,MEDIUM,LOW,UNKNOWN,HIGH,HIGH,1,0,33,0,24,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CONSTRUCTION
33966080,1,ST1AC,0,1,500000,0,0,0,36,0,1,26,0,1,NULL,0.89,1,27,7,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RESTAURANT
33966080,1,ST1AC,1,1,100000,0,50000,4,83,0,1,28,0,1,NULL,0.35,1,177,7,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RESTAURANT
34061312,0,ST1MO,0,1,0,0,500000,3,0,0,0,6,500000,0,236115,0,4,45,0,NONE,0,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,1,22,0,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CONSTRUCTION
34734592,0,ST1QTR,0,1,100000,0,0,1,14,0,0,6,5000000,0,NULL,0.73,2,43,0,COM,10,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,14,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRADE
34875392,0,ST1MO,0,1,500000,0,500000,0,16,0,0,23,25000000,0,NULL,0.16,2,24,0,COM,1909,0,MEDIUM,4,HIGH,HIGH,UNKNOWN,LOW,HIGH,1,2,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
35078656,0,ST1MO,0,1,100000,10000,0,0,29,0,0,2,0,0,812990,1,3,16,5,COM,0,0,MEDIUM,10,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,3,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
35083264,1,ST1MO,0,1,1000000,10000,1000000,1,63,0,0,18,1000000,1,532490,1,6,83,29,COM,23,0,LOW,2,HIGH,MEDIUM,HIGH,LOW,HIGH,1,1,100,0,0,0,0,2,1,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0.25,MIX
35084800,0,ST1MO,0,1,500000,0,50000,0,49,0,0,48,0,0,453998,1,0,7,0,COM,83,15693560,MEDIUM,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,7,0,18,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
35162112,0,ST1MO,0,1,50000,0,50000,0,58,0,0,6,50000,1,446199,0.97,3,27,13,COM,1,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HEALTHCARE
35245888,0,ST1MO,0,1,500000,0,10000,0,18,0,0,2,0,0,339950,1,3,29,0,OTHER,13,952000,HIGH,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,19,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
35259392,0,ST1MO,0,1,500000,0,500000,0,20,0,1,4,10000,0,NULL,0.94,2,3,0,COM,1,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RESTAURANT
35360768,0,ST1MO,0,1,50000,0,50000,0,5,0,0,25,10000,1,811213,0.41,3,4,1,COM,1,0,MEDIUM,1,LOW,HIGH,UNKNOWN,LOW,HIGH,1,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,MIX
35389952,0,ST1MO,0,1,500000,0,0,0,2,0,0,11,100000,1,335313,0.65,3,1,18,OTHER,1,0,MEDIUM,1,MEDIUM,LOW,UNKNOWN,LOW,HIGH,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0.6667,0,0,RETAIL
35633152,0,ST1MO,0,1,0,10000,5000000,2,61,0,0,37,5000000,1,311613,0.89,6,176,43,NONE,0,0,MEDIUM,1,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.6,TRADE
35806208,0,ST1MO,0,1,50000,10000,500000,0,47,0,0,4,0,0,811310,0,3,47,24,OTHER,0,21450,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,1,0,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRANSPORT
35838976,0,ST1MO,0,1,500000,0,100000,0,8,0,0,2,0,1,541613,0,2,1,7,COM,16,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
35857408,0,ST1AC,0,5,5000000,10000,5000000,1,188,0,0,25,25000000,1,423120,0.78,4,127,0,COM,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
36294656,1,ST1AC,0,1,5000000,0,5000000,2,65,0,0,8,0,1,323111,0.76,2,44,136,COM,26,0,LOW,3,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,2,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.6667,0,0.3333,0,0,0,0,MANUFACTURING
36504064,0,ST1MO,0,1,50000,0,50000,1,60,0,0,9,50000,1,811118,1,4,23,5,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,HIGH,LOW,HIGH,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0,MIX
36571136,0,ST1MO,0,1,100000,0,50000,0,36,0,0,6,10000,1,811111,1,4,21,7,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
36623360,1,ST1MO,0,1,1000000,0,1000000,0,6,0,0,24,50000,1,561730,0.35,3,2,72,COM,57,0,MEDIUM,1,HIGH,MEDIUM,UNKNOWN,HIGH,HIGH,1,0,30,0,9,0,0,1,0,0,0.6667,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,AGRICULTURE
36623360,1,ST1MO,1,1,1000000,10000,1000000,0,36,0,0,26,50000,1,561730,0.62,3,17,72,COM,57,0,MEDIUM,1,HIGH,MEDIUM,UNKNOWN,HIGH,HIGH,1,0,30,0,9,0,0,1,0,0,0.6667,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,AGRICULTURE
36669440,0,ST1AN,0,1,5000000,0,500000,0,42,0,0,11,5000000,0,522220,1,3,37,0,COM,14,0,LOW,10,LOW,MEDIUM,UNKNOWN,LOW,HIGH,1,1,10,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FINANCIAL
36681728,1,ST1MO,0,5,5000000,10000,0,0,102,0,0,46,0,1,323111,0.51,1,78,0,NONE,0,3709659,UNKNOWN,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
